,Season,Month,Year,Date,Pressure,Longitude,Latitude
1,DJF,1,1980,1/1980,1017.143249,333.8814631,30.40744546
2,DJF,2,1980,2/1980,1019.204959,337.2790982,32.50106976
3,MAM,3,1980,3/1980,1017.661527,321.708227,29.87381167
4,MAM,4,1980,4/1980,1017.843476,327.5973401,36.80631131
5,MAM,5,1980,5/1980,1017.974973,324.5305512,29.43481851
6,JJA,6,1980,6/1980,1020.736365,323.2870551,33.37640461
7,JJA,7,1980,7/1980,1019.990509,321.4649479,33.50964494
8,JJA,8,1980,8/1980,1018.098721,324.6344085,32.27965443
9,SON,9,1980,9/1980,1019.209687,328.2573586,35.20448461
10,SON,10,1980,10/1980,1017.373605,327.550253,31.48887885
11,SON,11,1980,11/1980,1016.988854,335.646321,30.97083814
12,DJF,12,1980,12/1980,1020.654096,337.4259012,34.80810591
13,DJF,1,1981,1/1981,1022.300234,340.9074285,35.19000427
14,DJF,2,1981,2/1981,1019.907979,328.04424,35.86841076
15,MAM,3,1981,3/1981,1016.389085,333.5620056,27.84799279
16,MAM,4,1981,4/1981,1019.132378,322.5479768,34.11697322
17,MAM,5,1981,5/1981,1018.791566,322.2841046,32.73720019
18,JJA,6,1981,6/1981,1018.668642,326.9706609,33.35820615
19,JJA,7,1981,7/1981,1020.59283,325.7977925,35.0055026
20,JJA,8,1981,8/1981,1019.04943,326.3891022,35.55550883
21,SON,9,1981,9/1981,1017.540949,330.2216857,32.10045577
22,SON,10,1981,10/1981,1018.102573,328.2162307,35.02828125
23,SON,11,1981,11/1981,1018.958174,346.3902103,36.10337004
24,DJF,12,1981,12/1981,1018.132097,330.1388478,28.45577897
25,DJF,1,1982,1/1982,1018.75964,334.5168421,30.59598929
26,DJF,2,1982,2/1982,1019.552421,326.6572173,31.28744389
27,MAM,3,1982,3/1982,1019.760501,327.4598707,34.20915837
28,MAM,4,1982,4/1982,1018.33226,322.3656704,34.44786756
29,MAM,5,1982,5/1982,1018.849421,328.6040096,34.82766212
30,JJA,6,1982,6/1982,1018.808955,322.9326099,30.842536
31,JJA,7,1982,7/1982,1020.376742,322.9873228,34.10351572
32,JJA,8,1982,8/1982,1020.040595,323.2824245,34.5971714
33,SON,9,1982,9/1982,1018.720872,323.5814234,34.01837418
34,SON,10,1982,10/1982,1017.294709,327.4879799,32.08053109
35,SON,11,1982,11/1982,1019.49001,327.7657329,34.12881482
36,DJF,12,1982,12/1982,1021.614267,331.8995468,33.28077024
37,DJF,1,1983,1/1983,1023.32576,340.6373014,34.28264472
38,DJF,2,1983,2/1983,1017.981237,340.8164152,33.53198168
39,MAM,3,1983,3/1983,1018.871924,337.9343262,35.09685423
40,MAM,4,1983,4/1983,1017.66658,321.7259943,35.5643347
41,MAM,5,1983,5/1983,1019.306853,319.3123433,33.23479646
42,JJA,6,1983,6/1983,1019.316394,327.6408402,35.10969456
43,JJA,7,1983,7/1983,1020.314304,323.2035754,34.21233842
44,JJA,8,1983,8/1983,1020.320112,323.7624154,34.34917611
45,SON,9,1983,9/1983,1018.255145,324.4295538,32.37468191
46,SON,10,1983,10/1983,1019.475688,331.8717623,36.06672026
47,SON,11,1983,11/1983,1016.642381,334.8526928,29.28777477
48,DJF,12,1983,12/1983,1019.741048,330.1399176,31.1763051
49,DJF,1,1984,1/1984,1022.617344,330.8925618,33.41719489
50,DJF,2,1984,2/1984,1020.225249,332.8672348,34.69186148
51,MAM,3,1984,3/1984,1017.118044,321.0390701,32.55990094
52,MAM,4,1984,4/1984,1016.759231,323.4665141,31.34279413
53,MAM,5,1984,5/1984,1020.456856,320.4056005,34.0462257
54,JJA,6,1984,6/1984,1020.261186,325.8271429,34.43495716
55,JJA,7,1984,7/1984,1020.08922,322.9198577,34.77939914
56,JJA,8,1984,8/1984,1019.261055,325.4379254,34.58665763
57,SON,9,1984,9/1984,1018.044178,324.3040532,34.76809284
58,SON,10,1984,10/1984,1018.56629,328.0503022,34.05620252
59,SON,11,1984,11/1984,1017.211671,325.4011304,29.89499884
60,DJF,12,1984,12/1984,1020.001974,333.0059615,34.25623994
61,DJF,1,1985,1/1985,1017.310553,327.8097126,26.96284332
62,DJF,2,1985,2/1985,1019.043203,327.6172521,29.96515375
63,MAM,3,1985,3/1985,1018.793109,325.9213999,31.49742095
64,MAM,4,1985,4/1985,1018.245583,320.5776801,30.60208478
65,MAM,5,1985,5/1985,1018.645331,321.2480557,31.25148652
66,JJA,6,1985,6/1985,1018.875057,323.3762921,32.98470543
67,JJA,7,1985,7/1985,1020.354953,322.1380616,34.26658299
68,JJA,8,1985,8/1985,1019.22871,322.2528541,34.00413014
69,SON,9,1985,9/1985,1017.957806,329.1661381,35.44205602
70,SON,10,1985,10/1985,1018.589983,331.4656319,35.49269577
71,SON,11,1985,11/1985,1016.810769,319.9563042,32.61568728
72,DJF,12,1985,12/1985,1019.977626,333.1082098,30.32394363
73,DJF,1,1986,1/1986,1022.959394,330.5532981,32.31682446
74,DJF,2,1986,2/1986,1017.492462,322.3464002,27.37125415
75,MAM,3,1986,3/1986,1020.678484,326.0517917,32.40565761
76,MAM,4,1986,4/1986,1018.587952,323.4647688,34.25440425
77,MAM,5,1986,5/1986,1017.916026,329.3945134,33.24611836
78,JJA,6,1986,6/1986,1020.163445,322.2969797,33.13330086
79,JJA,7,1986,7/1986,1020.483951,324.4116217,33.65796621
80,JJA,8,1986,8/1986,1018.308216,321.0640062,33.59613015
81,SON,9,1986,9/1986,1017.91189,327.9232481,35.56200254
82,SON,10,1986,10/1986,1018.77166,331.8790313,34.17789281
