,Season,Month,Year,Date,Pressure,Longitude,Latitude
1,DJF,1,1980,1/10/1980,1006.923497,303.8178328,63.71563525
2,DJF,1,1980,1/20/1980,1008.65118,330.1544606,53.12114438
3,DJF,1,1980,1/30/1980,1002.798484,322.7521087,53.12994779
4,DJF,2,1980,2/9/1980,1002.72056,324.1820255,53.33387931
5,DJF,2,1980,2/19/1980,1000.770872,313.0048899,62.00699433
6,DJF,2,1980,2/29/1980,1006.366493,315.4512779,60.87550039
7,MAM,3,1980,3/10/1980,1006.589725,323.551798,61.23661991
8,MAM,3,1980,3/20/1980,1008.89051,342.2859134,45.18239383
9,MAM,3,1980,3/30/1980,1008.455335,336.2347254,53.58010042
10,MAM,4,1980,4/9/1980,1010.156749,324.3736607,64.38249825
11,MAM,4,1980,4/19/1980,1010.488176,343.3353867,64.65016412
12,MAM,4,1980,4/29/1980,1011.509729,323.9683582,45.72530542
13,MAM,5,1980,5/9/1980,1009.22198,313.0691297,48.32712409
14,MAM,5,1980,5/19/1980,1011.197363,306.9123444,59.24790705
15,MAM,5,1980,5/29/1980,1011.247165,330.252135,53.60918665
16,JJA,6,1980,6/8/1980,1011.494259,299.6033542,56.77917359
17,JJA,6,1980,6/18/1980,1009.223475,334.0378809,61.12256667
18,JJA,6,1980,6/28/1980,1010.274652,326.0743093,57.90222041
19,JJA,7,1980,7/8/1980,1010.663902,310.1340247,53.95403545
20,JJA,7,1980,7/18/1980,1010.628336,324.0898156,59.25716504
21,JJA,7,1980,7/28/1980,1010.261694,295.6990482,58.41184463
22,JJA,8,1980,8/7/1980,1010.702381,317.3323467,54.54583667
23,JJA,8,1980,8/17/1980,1011.609204,328.9009888,63.50638214
24,JJA,8,1980,8/27/1980,1010.062476,311.649882,57.59489878
25,SON,9,1980,9/6/1980,1008.207838,328.3042228,61.41174403
26,SON,9,1980,9/16/1980,1009.029866,332.6118593,60.24309691
27,SON,9,1980,9/26/1980,1006.069494,319.4857273,63.48204957
28,SON,10,1980,10/6/1980,1007.766373,342.9223002,61.14349047
29,SON,10,1980,10/16/1980,1010.06085,325.8469502,53.75792319
30,SON,10,1980,10/26/1980,1006.576597,324.367798,57.63904254
31,SON,11,1980,11/5/1980,1007.794667,299.6764976,56.05429266
32,SON,11,1980,11/15/1980,1002.956288,333.1128932,54.20130241
33,SON,11,1980,11/25/1980,1010.434996,329.0976051,56.70354214
34,DJF,12,1980,12/5/1980,1009.025192,334.5061617,54.82147435
35,DJF,12,1980,12/15/1980,1002.213451,331.9051213,61.57888421
36,DJF,12,1980,12/25/1980,1000.735763,336.1780728,65.40835815
37,DJF,1,1981,1/4/1981,1006.969296,336.6277911,60.46212521
38,DJF,1,1981,1/14/1981,1006.69304,342.3909367,62.22845859
39,DJF,1,1981,1/24/1981,1005.081938,315.3940254,59.21560102
40,DJF,2,1981,2/3/1981,1000.495421,331.0252833,65.07620988
41,DJF,2,1981,2/13/1981,1005.243974,320.1863054,65.73514941
42,DJF,2,1981,2/23/1981,1010.182958,324.9587241,54.08746008
43,MAM,3,1981,3/5/1981,1002.712532,327.7294865,49.06472085
44,MAM,3,1981,3/15/1981,1005.336001,325.2926597,51.7466465
45,MAM,3,1981,3/25/1981,1003.11372,336.6081013,54.98557683
46,MAM,4,1981,4/4/1981,1008.487118,314.4139802,61.41835608
47,MAM,4,1981,4/14/1981,1011.363824,323.6956264,62.19696205
48,MAM,4,1981,4/24/1981,1010.283021,309.2542927,48.43111674
49,MAM,5,1981,5/4/1981,1010.428173,353.0353179,56.01469403
50,MAM,5,1981,5/14/1981,1010.509017,336.6939911,55.83181518
51,MAM,5,1981,5/24/1981,1010.690606,327.2909758,56.98458487
52,JJA,6,1981,6/3/1981,1008.486285,315.2670877,54.57090963
53,JJA,6,1981,6/13/1981,1009.465166,308.1985854,54.08679805
54,JJA,6,1981,6/23/1981,1011.205595,292.0739894,59.0983801
55,JJA,7,1981,7/3/1981,1007.684774,322.9406295,64.09023748
56,JJA,7,1981,7/13/1981,1010.182936,308.3331251,57.43573848
57,JJA,7,1981,7/23/1981,1008.244481,316.9679628,65.73543644
58,JJA,8,1981,8/2/1981,1010.852262,320.951828,66.95075541
59,JJA,8,1981,8/12/1981,1010.121154,310.1912577,64.12105353
60,JJA,8,1981,8/22/1981,1009.436221,322.3153606,65.35328281
61,SON,9,1981,9/1/1981,1010.788057,302.9306777,68.53946994
62,SON,9,1981,9/11/1981,1009.642969,312.1948429,55.14499563
63,SON,9,1981,9/21/1981,1007.084475,341.7880261,58.36635121
64,SON,10,1981,10/1/1981,1008.521076,337.1259811,53.32093758
65,SON,10,1981,10/11/1981,1006.868492,1.288789077,60.49100864
66,SON,10,1981,10/21/1981,1006.632506,320.0964064,65.03039303
67,SON,10,1981,10/31/1981,1006.546707,331.121959,60.73940744
68,SON,11,1981,11/10/1981,1006.087166,309.8308758,65.25529334
69,SON,11,1981,11/20/1981,1006.915893,338.2652015,58.31543105
70,SON,11,1981,11/30/1981,1009.221824,323.6999858,56.59871472
71,DJF,12,1981,12/10/1981,1002.76389,346.2258631,52.99399999
72,DJF,12,1981,12/20/1981,1005.261079,331.8951701,55.46232193
73,DJF,12,1981,12/30/1981,1001.445243,340.7183841,50.28809117
74,DJF,1,1982,1/9/1982,1006.79464,315.4327045,54.89486261
75,DJF,1,1982,1/19/1982,1004.105434,319.1952469,55.40810439
76,DJF,1,1982,1/29/1982,1006.736702,325.5811944,62.58647262
77,DJF,2,1982,2/8/1982,998.3701559,324.7247162,62.22818741
78,DJF,2,1982,2/18/1982,1005.347324,322.2746719,58.11065077
79,DJF,2,1982,2/28/1982,1001.024574,331.4436091,59.9741543
80,MAM,3,1982,3/10/1982,1002.567636,332.5729167,63.59472353
81,MAM,3,1982,3/20/1982,1008.306714,323.8100371,57.04641446
82,MAM,3,1982,3/30/1982,1007.903429,323.5259874,62.42612033
83,MAM,4,1982,4/9/1982,1007.807344,320.1455118,56.49388222
84,MAM,4,1982,4/19/1982,1007.543368,326.9018061,64.78822906
85,MAM,4,1982,4/29/1982,1006.697582,8.046307856,65.98539404
86,MAM,5,1982,5/9/1982,1011.777951,298.9951309,41.83234738
87,MAM,5,1982,5/19/1982,1009.819658,334.2608031,55.75514981
88,MAM,5,1982,5/29/1982,1010.291746,315.8120232,55.50884817
89,JJA,6,1982,6/8/1982,1011.314834,319.6626258,51.70943381
90,JJA,6,1982,6/18/1982,1010.73915,319.2465328,51.12027547
91,JJA,6,1982,6/28/1982,1010.667911,322.1408143,57.09345271
92,JJA,7,1982,7/8/1982,1009.040101,301.293794,60.80567015
93,JJA,7,1982,7/18/1982,1008.866784,310.0944466,66.83361648
94,JJA,7,1982,7/28/1982,1009.364535,307.1428069,64.44715644
95,JJA,8,1982,8/7/1982,1010.623055,328.4714273,65.60900617
96,JJA,8,1982,8/17/1982,1006.899215,332.3174772,61.55778045
97,JJA,8,1982,8/27/1982,1008.71207,328.1652506,62.78551745
98,SON,9,1982,9/6/1982,1010.233319,344.4688527,64.63420321
99,SON,9,1982,9/16/1982,1007.01119,328.1446214,65.35057282
100,SON,9,1982,9/26/1982,1004.64401,331.8437159,59.90572069
101,SON,10,1982,10/6/1982,1010.0359,329.8835452,54.1200988
102,SON,10,1982,10/16/1982,1006.706596,334.7272504,58.45970451
103,SON,10,1982,10/26/1982,1004.219983,327.7183809,61.75998321
104,SON,11,1982,11/5/1982,1005.440512,332.3850775,60.08401423
105,SON,11,1982,11/15/1982,1000.802527,343.5634995,64.22349814
106,SON,11,1982,11/25/1982,1002.523863,324.2015618,63.30872925
107,DJF,12,1982,12/5/1982,1003.500544,326.2538824,62.4694457
108,DJF,12,1982,12/15/1982,1000.034671,351.1507146,60.54122157
109,DJF,12,1982,12/25/1982,1003.123848,335.6367024,64.41943696
110,DJF,1,1983,1/4/1983,996.7659398,334.7087834,64.65949987
111,DJF,1,1983,1/14/1983,1003.519439,356.0178489,64.29999898
112,DJF,1,1983,1/24/1983,1001.799166,335.0815444,63.55391223
113,DJF,2,1983,2/3/1983,1008.67483,0.712340314,59.41530717
114,DJF,2,1983,2/13/1983,1010.552978,334.6861627,54.23885191
115,DJF,2,1983,2/23/1983,1007.152465,323.6034326,56.51227641
116,MAM,3,1983,3/5/1983,1006.868869,330.5672501,61.76327753
117,MAM,3,1983,3/15/1983,1007.299984,330.8622632,60.38778781
118,MAM,3,1983,3/25/1983,1005.910533,355.454291,57.9821843
119,MAM,4,1983,4/4/1983,1007.279241,358.3323843,54.668387
120,MAM,4,1983,4/14/1983,1010.615112,345.7165031,62.66822177
121,MAM,4,1983,4/24/1983,1009.872487,330.0140946,48.59614275
122,MAM,5,1983,5/4/1983,1010.399601,333.0214568,56.82799576
123,MAM,5,1983,5/14/1983,1007.073678,355.1492581,54.17680015
124,MAM,5,1983,5/24/1983,1012.087616,340.1815884,50.18060901
125,JJA,6,1983,6/3/1983,1010.426913,297.0880664,49.93822422
126,JJA,6,1983,6/13/1983,1008.708334,326.6503188,64.24648244
127,JJA,6,1983,6/23/1983,1008.571337,304.6961556,64.48063649
128,JJA,7,1983,7/3/1983,1006.140601,310.0950009,64.2383436
129,JJA,7,1983,7/13/1983,1010.676158,311.5542247,57.7657048
130,JJA,7,1983,7/23/1983,1009.186246,306.7599489,61.96433674
131,JJA,8,1983,8/2/1983,1007.483918,315.3718485,66.41365734
132,JJA,8,1983,8/12/1983,1007.641939,319.989388,66.08145714
133,JJA,8,1983,8/22/1983,1009.435748,312.4156067,63.46964314
134,SON,9,1983,9/1/1983,1009.66583,327.8139838,61.19377732
135,SON,9,1983,9/11/1983,1008.07197,335.7415898,57.58618881
136,SON,9,1983,9/21/1983,1008.314359,337.6891279,62.39758989
