,Season,Month,Year,Date,Pressure,Longitude,Latitude
1,DJF,1,1980,1/1980,1008.305278,315.082892,56.4756557
2,DJF,2,1980,2/1980,1005.330458,319.6855302,58.0084414
3,MAM,3,1980,3/1980,1011.105301,332.2278895,56.54791649
4,MAM,4,1980,4/1980,1011.394763,331.3567817,65.77649102
5,MAM,5,1980,5/1980,1011.596098,315.0395026,47.632688
6,JJA,6,1980,6/1980,1011.286372,323.8159428,59.49985976
7,JJA,7,1980,7/1980,1011.296653,302.0695743,58.25437183
8,JJA,8,1980,8/1980,1011.738443,319.007712,56.87524821
9,SON,9,1980,9/1980,1008.388208,324.1478346,62.13102097
10,SON,10,1980,10/1980,1009.109813,330.4851107,58.44930986
11,SON,11,1980,11/1980,1009.259482,315.6314167,54.97503623
12,DJF,12,1980,12/1980,1005.283983,336.8707406,63.24119497
13,DJF,1,1981,1/1981,1006.972721,327.035959,61.35968129
14,DJF,2,1981,2/1981,1007.122889,326.5041057,64.98145231
15,MAM,3,1981,3/1981,1005.036596,330.9842828,51.9918383
16,MAM,4,1981,4/1981,1011.334419,313.2626891,55.90157565
17,MAM,5,1981,5/1981,1011.273939,335.4630648,56.89308385
18,JJA,6,1981,6/1981,1011.028046,299.8976827,56.38586014
19,JJA,7,1981,7/1981,1009.295253,316.4149486,63.86574106
20,JJA,8,1981,8/1981,1009.978426,314.6024507,66.37945481
21,SON,9,1981,9/1981,1010.221049,331.7056637,58.16677962
22,SON,10,1981,10/1981,1007.661748,358.8115174,61.50975589
23,SON,11,1981,11/1981,1008.580957,325.144351,60.71046083
24,DJF,12,1981,12/1981,1007.345597,343.7442215,53.46489383
25,DJF,1,1982,1/1982,1007.503133,318.9953346,56.04084891
26,DJF,2,1982,2/1982,1002.324344,325.8351016,60.24650658
27,MAM,3,1982,3/1982,1006.197404,331.0965527,63.26553433
28,MAM,4,1982,4/1982,1009.46321,325.2455615,62.32731436
29,MAM,5,1982,5/1982,1011.868947,341.1000284,58.75564269
30,JJA,6,1982,6/1982,1011.731546,318.0642156,52.52375836
31,JJA,7,1982,7/1982,1009.056611,306.4395366,63.88447084
32,JJA,8,1982,8/1982,1009.4139,328.8133636,62.57267705
33,SON,9,1982,9/1982,1008.049935,333.5148883,63.64798114
34,SON,10,1982,10/1982,1007.417747,330.2429833,60.06369026
35,SON,11,1982,11/1982,1003.25228,333.393837,63.31088875
36,DJF,12,1982,12/1982,1003.363725,337.5571972,63.45355779
37,DJF,1,1983,1/1983,1002.181708,343.2451072,64.60003328
38,DJF,2,1983,2/1983,1010.414252,328.6681023,56.66075026
39,MAM,3,1983,3/1983,1008.106558,341.1954681,61.68455278
40,MAM,4,1983,4/1983,1010.750659,352.9203843,54.54951715
41,MAM,5,1983,5/1983,1010.945692,353.0873189,53.69386535
42,JJA,6,1983,6/1983,1010.03637,309.8702949,63.60727866
43,JJA,7,1983,7/1983,1009.192001,311.04792,63.58065828
44,JJA,8,1983,8/1983,1008.716642,316.5456479,66.13504403
45,SON,9,1983,9/1983,1009.382347,335.9767427,59.62342354
46,SON,10,1983,10/1983,1006.204286,340.3477776,64.21855481
47,SON,11,1983,11/1983,1009.60526,331.9284344,55.30540129
48,DJF,12,1983,12/1983,1005.521736,330.6851839,61.47331978
49,DJF,1,1984,1/1984,1002.108651,337.9993115,63.20689613
50,DJF,2,1984,2/1984,1005.714446,334.6077658,63.84724804
51,MAM,3,1984,3/1984,1012.825744,322.6619101,47.99300095
52,MAM,4,1984,4/1984,1011.107644,326.6017689,57.81917701
53,MAM,5,1984,5/1984,1011.730076,336.784924,53.76763835
54,JJA,6,1984,6/1984,1012.381447,315.2828475,59.56069816
55,JJA,7,1984,7/1984,1010.255715,307.880669,61.65282025
56,JJA,8,1984,8/1984,1008.331824,305.5461259,65.31677008
57,SON,9,1984,9/1984,1009.06087,328.8976278,60.95817992
58,SON,10,1984,10/1984,1006.402267,333.1942729,61.42630835
59,SON,11,1984,11/1984,1006.316726,333.4889947,57.51708478
60,DJF,12,1984,12/1984,1003.759695,320.5477884,63.58217089
61,DJF,1,1985,1/1985,1006.598696,313.5786259,51.80555811
62,DJF,2,1985,2/1985,1006.959523,325.6290061,54.16919787
63,MAM,3,1985,3/1985,1009.304095,324.1993326,57.90310178
64,MAM,4,1985,4/1985,1010.194424,336.6191262,57.72628861
65,MAM,5,1985,5/1985,1011.897453,313.8725122,51.87822835
66,JJA,6,1985,6/1985,1011.920192,312.7217788,56.02221235
67,JJA,7,1985,7/1985,1009.576083,309.6727578,61.77637547
68,JJA,8,1985,8/1985,1009.859091,340.0115115,61.89342035
69,SON,9,1985,9/1985,1009.924258,327.4400505,61.24961666
70,SON,10,1985,10/1985,1007.49039,321.230904,62.36882736
71,SON,11,1985,11/1985,1010.665763,329.711066,57.23944608
72,DJF,12,1985,12/1985,1006.325505,323.8090569,57.32425129
73,DJF,1,1986,1/1986,1005.11747,329.4100684,61.40271229
74,DJF,2,1986,2/1986,1008.176013,321.4505094,50.75215825
75,MAM,3,1986,3/1986,1001.878682,328.36358,63.43837895
76,MAM,4,1986,4/1986,1012.046372,350.5240417,52.21457049
77,MAM,5,1986,5/1986,1009.865901,341.7625928,61.48864244
78,JJA,6,1986,6/1986,1009.04833,307.5180741,61.97325661
79,JJA,7,1986,7/1986,1011.073884,324.7625362,62.82571078
80,JJA,8,1986,8/1986,1010.521684,295.1195657,62.95956633
81,SON,9,1986,9/1986,1011.262675,339.0302856,65.91348547
82,SON,10,1986,10/1986,1003.318818,330.5332198,63.66309259
83,SON,11,1986,11/1986,1004.299624,335.3853914,62.2703425
84,DJF,12,1986,12/1986,1004.234995,326.3204002,62.18713413
85,DJF,1,1987,1/1987,1007.293296,309.7036673,56.33729952
86,DJF,2,1987,2/1987,1005.682772,324.7122015,53.4373241
87,MAM,3,1987,3/1987,1010.399949,331.8946559,58.45968864
88,MAM,4,1987,4/1987,1009.907209,331.7775532,64.71095257
89,MAM,5,1987,5/1987,1011.566126,306.1156166,62.11862144
90,JJA,6,1987,6/1987,1011.438918,311.2961877,57.70437861
91,JJA,7,1987,7/1987,1010.978065,309.174757,63.12709044
92,JJA,8,1987,8/1987,1011.166181,306.7874233,60.04117808
93,SON,9,1987,9/1987,1008.859773,329.2542209,61.35423486
94,SON,10,1987,10/1987,1007.659878,333.233445,60.90967527
95,SON,11,1987,11/1987,1007.985301,317.5112285,62.74727215
96,DJF,12,1987,12/1987,1005.651939,325.3950804,54.13019743
97,DJF,1,1988,1/1988,1003.687323,335.9635173,60.07117839
98,DJF,2,1988,2/1988,1007.358584,328.4482838,62.76514293
99,MAM,3,1988,3/1988,1008.666704,336.8177501,57.53811055
100,MAM,4,1988,4/1988,1010.78618,317.4593368,47.92030707
101,MAM,5,1988,5/1988,1012.136996,329.8749883,57.89380865
102,JJA,6,1988,6/1988,1009.951794,314.7994569,62.10103049
103,JJA,7,1988,7/1988,1010.221616,329.3822927,62.01919913
104,JJA,8,1988,8/1988,1008.139048,320.2787144,61.65359783
105,SON,9,1988,9/1988,1009.133908,330.4370356,62.03330451
106,SON,10,1988,10/1988,1009.780921,320.9663145,61.48646657
107,SON,11,1988,11/1988,1008.456635,317.9209603,58.36379192
108,DJF,12,1988,12/1988,1005.513571,326.7894203,62.72300636
109,DJF,1,1989,1/1989,1002.238638,327.7396285,63.49265155
110,DJF,2,1989,2/1989,1001.54821,335.2026462,63.80114865
111,MAM,3,1989,3/1989,1003.125818,336.0704714,62.27778054
112,MAM,4,1989,4/1989,1011.134076,343.2544573,53.90773801
113,MAM,5,1989,5/1989,1011.530916,328.8841913,66.54320228
114,JJA,6,1989,6/1989,1011.807386,322.0138568,66.29141115
115,JJA,7,1989,7/1989,1008.709863,312.2553148,66.34631115
116,JJA,8,1989,8/1989,1007.882615,326.181008,62.50973724
117,SON,9,1989,9/1989,1006.64586,320.1335501,64.98819677
118,SON,10,1989,10/1989,1007.078517,330.0566207,62.90545275
119,SON,11,1989,11/1989,1008.128794,312.5420553,59.72292036
120,DJF,12,1989,12/1989,1003.455087,327.2309213,55.41081858
121,DJF,1,1990,1/1990,1001.53931,328.3280444,61.39961497
122,DJF,2,1990,2/1990,997.1148773,335.4411866,61.44371877
123,MAM,3,1990,3/1990,1004.145207,333.6948323,65.10531101
124,MAM,4,1990,4/1990,1008.795465,335.3690444,66.37061244
125,MAM,5,1990,5/1990,1013.01482,310.7815028,54.36508686
126,JJA,6,1990,6/1990,1010.137944,310.2624407,59.81861344
127,JJA,7,1990,7/1990,1009.929162,310.7787867,62.46003244
128,JJA,8,1990,8/1990,1009.634868,316.9528255,64.56808747
129,SON,9,1990,9/1990,1008.98389,323.8864047,64.78114731
130,SON,10,1990,10/1990,1007.769768,335.024894,60.50990046
131,SON,11,1990,11/1990,1008.733874,318.9529746,57.67047956
132,DJF,12,1990,12/1990,1003.660837,328.3306668,65.35754213
133,DJF,1,1991,1/1991,1003.44521,324.6063754,62.19656463
134,DJF,2,1991,2/1991,1005.293894,309.5646502,60.76510985
135,MAM,3,1991,3/1991,1009.761362,325.0026307,53.59321479
136,MAM,4,1991,4/1991,1010.753951,345.1139816,63.51485106
137,MAM,5,1991,5/1991,1011.612982,311.7534872,62.08905079
138,JJA,6,1991,6/1991,1010.789131,334.5285397,57.96313566
139,JJA,7,1991,7/1991,1010.619196,310.3006857,59.9658302
140,JJA,8,1991,8/1991,1007.234543,321.1826333,65.49977867
