,Season,Month,Year,Date,NAO-PC-H
1,DJF,1,1980,1/10/1980,0.1
2,DJF,1,1980,1/20/1980,-0.7
3,DJF,1,1980,1/30/1980,-0.7
4,DJF,2,1980,2/9/1980,-0.5
5,DJF,2,1980,2/19/1980,0.9
6,DJF,2,1980,2/29/1980,0.7
7,MAM,3,1980,3/10/1980,0.8
8,MAM,3,1980,3/20/1980,-1
9,MAM,3,1980,3/30/1980,-0.2
10,MAM,4,1980,4/9/1980,0.7
11,MAM,4,1980,4/19/1980,0.9
12,MAM,4,1980,4/29/1980,0
13,MAM,5,1980,5/9/1980,-1.2
14,MAM,5,1980,5/19/1980,-0.2
15,MAM,5,1980,5/29/1980,-0.5
16,JJA,6,1980,6/8/1980,0.1
17,JJA,6,1980,6/18/1980,0
18,JJA,6,1980,6/28/1980,-0.6
19,JJA,7,1980,7/8/1980,-0.8
20,JJA,7,1980,7/18/1980,0
21,JJA,7,1980,7/28/1980,0.1
22,JJA,8,1980,8/7/1980,-1
23,JJA,8,1980,8/17/1980,-0.7
24,JJA,8,1980,8/27/1980,-1.4
25,SON,9,1980,9/6/1980,0
26,SON,9,1980,9/16/1980,0.4
27,SON,9,1980,9/26/1980,0.6
28,SON,10,1980,10/6/1980,-0.2
29,SON,10,1980,10/16/1980,-1.4
30,SON,10,1980,10/26/1980,-0.6
31,SON,11,1980,11/5/1980,-0.4
32,SON,11,1980,11/15/1980,0
33,SON,11,1980,11/25/1980,-0.1
34,DJF,12,1980,12/5/1980,-0.6
35,DJF,12,1980,12/15/1980,0.7
36,DJF,12,1980,12/25/1980,0.9
37,DJF,1,1981,1/4/1981,0.4
38,DJF,1,1981,1/14/1981,0.1
39,DJF,1,1981,1/24/1981,0.2
40,DJF,2,1981,2/3/1981,0.6
41,DJF,2,1981,2/13/1981,1.4
42,DJF,2,1981,2/23/1981,-0.2
43,MAM,3,1981,3/5/1981,-0.6
44,MAM,3,1981,3/15/1981,-0.6
45,MAM,3,1981,3/25/1981,-0.1
46,MAM,4,1981,4/4/1981,0.4
47,MAM,4,1981,4/14/1981,0.5
