,Season,Month,Year,Date,NAO-PC-H,NAO-ST-H,NAO-ST-J
1,DJF,1,1980,Jan-80,-0.8,-1.7,-1.8
2,DJF,2,1980,Feb-80,0.1,0.5,0.7
3,MAM,3,1980,Mar-80,-0.3,0,-0.7
4,MAM,4,1980,Apr-80,1.3,-0.2,0
5,MAM,5,1980,May-80,-1.5,-2.1,-2.3
6,JJA,6,1980,Jun-80,-0.4,1.3,-0.2
7,JJA,7,1980,Jul-80,-0.4,-1.6,-0.9
8,JJA,8,1980,Aug-80,-2.2,-2.1,0.3
9,SON,9,1980,Sep-80,0.7,1.6,1.7
10,SON,10,1980,Oct-80,-1.8,-1.3,-0.9
11,SON,11,1980,Nov-80,-0.4,-2.7,-2.1
12,DJF,12,1980,Dec-80,0.8,1.5,1.5
13,DJF,1,1981,Jan-81,0.4,1,1
14,DJF,2,1981,Feb-81,0.9,1.2,1
15,MAM,3,1981,Mar-81,-1.2,-1.1,0
16,MAM,4,1981,Apr-81,0.4,-1.2,-3
17,MAM,5,1981,May-81,0.2,0.1,0.1
18,JJA,6,1981,Jun-81,-0.4,-1.8,-1.6
19,JJA,7,1981,Jul-81,0.1,1.6,1.7
20,JJA,8,1981,Aug-81,0.4,0.4,1
21,SON,9,1981,Sep-81,-1.5,-0.3,0.3
22,SON,10,1981,Oct-81,-1.4,0.3,-1.1
23,SON,11,1981,Nov-81,-0.4,-0.8,1.7
24,DJF,12,1981,Dec-81,0,-1.6,-2.2
25,DJF,1,1982,Jan-82,-0.9,-1.3,-0.7
26,DJF,2,1982,Feb-82,1.1,1.7,2.3
27,MAM,3,1982,Mar-82,1.1,2.5,1.7
28,MAM,4,1982,Apr-82,0.1,-0.6,-1
29,MAM,5,1982,May-82,-0.5,1,1.1
30,JJA,6,1982,Jun-82,-1.6,-3,-1.9
31,JJA,7,1982,Jul-82,1.1,-0.8,-0.6
32,JJA,8,1982,Aug-82,0.3,2.5,1.5
33,SON,9,1982,Sep-82,1.8,0.5,1.1
34,SON,10,1982,Oct-82,-0.7,1.1,0.3
35,SON,11,1982,Nov-82,1.6,2.2,1.7
36,DJF,12,1982,Dec-82,1.8,2.6,2.6
37,DJF,1,1983,Jan-83,1.6,2.6,4.8
38,DJF,2,1983,Feb-83,-0.5,-1.1,-1.3
39,MAM,3,1983,Mar-83,0.9,2,1.8
40,MAM,4,1983,Apr-83,-0.9,-1.2,-1
41,MAM,5,1983,May-83,-0.1,-0.4,-0.6
42,JJA,6,1983,Jun-83,1,0.6,0.5
43,JJA,7,1983,Jul-83,1.2,-0.5,-0.8
44,JJA,8,1983,Aug-83,1.6,1.4,0.6
45,SON,9,1983,Sep-83,-1.1,-1.9,-0.6
46,SON,10,1983,Oct-83,0.6,2,2.1
47,SON,11,1983,Nov-83,-1,-3.6,-2.3
48,DJF,12,1983,Dec-83,0.3,0.3,0.8
49,DJF,1,1984,Jan-84,1.7,3.4,2.5
50,DJF,2,1984,Feb-84,0.7,1.6,1.7
51,MAM,3,1984,Mar-84,-0.4,-1.9,-2.1
52,MAM,4,1984,Apr-84,-0.3,-1,0.3
53,MAM,5,1984,May-84,0.5,1.6,-2.3
54,JJA,6,1984,Jun-84,-0.4,0.3,0.3
55,JJA,7,1984,Jul-84,-0.1,-1.7,0.9
56,JJA,8,1984,Aug-84,1.1,0.5,1
57,SON,9,1984,Sep-84,0.2,0.4,-1.3
58,SON,10,1984,Oct-84,-0.1,1.3,1.7
59,SON,11,1984,Nov-84,-0.1,0.3,-1.2
60,DJF,12,1984,Dec-84,0,1.5,1.5
61,DJF,1,1985,Jan-85,-1.6,-2.7,-2.9
62,DJF,2,1985,Feb-85,-0.5,-1.5,-0.2
63,MAM,3,1985,Mar-85,0.2,0.6,0.1
64,MAM,4,1985,Apr-85,0.3,0.2,0.3
65,MAM,5,1985,May-85,-0.5,-0.9,-2.1
66,JJA,6,1985,Jun-85,-0.8,-1.9,-1.1
67,JJA,7,1985,Jul-85,1.2,0.3,1.1
68,JJA,8,1985,Aug-85,-0.5,1.2,2.3
69,SON,9,1985,Sep-85,-0.5,-1.7,0
70,SON,10,1985,Oct-85,0.9,-0.4,0.1
71,SON,11,1985,Nov-85,-0.7,-2.4,-2.8
72,DJF,12,1985,Dec-85,0.2,-1.2,-0.4
73,DJF,1,1986,Jan-86,1.1,2.4,1.5
74,DJF,2,1986,Feb-86,-1,-2.7,-4
75,MAM,3,1986,Mar-86,1.7,3.9,2.9
76,MAM,4,1986,Apr-86,-0.6,0,-0.9
77,MAM,5,1986,May-86,0.9,2.4,2.2
78,JJA,6,1986,Jun-86,1.2,0.6,-1.3
79,JJA,7,1986,Jul-86,0.1,0.6,0.9
80,JJA,8,1986,Aug-86,-1.1,-3.7,-2.2
81,SON,9,1986,Sep-86,-1.1,-3.3,-1.3
82,SON,10,1986,Oct-86,1.5,3.6,2.3
83,SON,11,1986,Nov-86,2.3,3.3,3.4
84,DJF,12,1986,Dec-86,1,1.9,3.4
85,DJF,1,1987,Jan-87,-1.1,-3.5,-2.1
86,DJF,2,1987,Feb-87,-0.7,-0.7,-0.2
